feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
"Ulcerative colitis, unspecified with fistula",0.857,0.62,1.184,0.35,0.6768329938900203
Chronic glomerulonephritis with lesion of membranous glomerulonephritis,0.513,0.126,2.085,0.351,0.677731570920183
Malignant neoplasm of connective and other soft tissue of abdomen,0.455,0.087,2.38,0.351,0.677731570920183
Alcohol dependence with unspecified alcohol-induced disorder,0.452,0.085,2.402,0.351,0.677731570920183
Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed,1.117,0.885,1.411,0.352,0.6786274111675127
Hereditary hemochromatosis,0.547,0.154,1.948,0.352,0.6786274111675127
Marfan's syndrome with other cardiovascular manifestations,0.463,0.091,2.341,0.352,0.6786274111675127
Calculus of gallbladder and bile duct without cholecystitis with obstruction,0.689,0.313,1.517,0.355,0.6823329959514169
Rising PSA following treatment for malignant neoplasm of prostate,0.689,0.312,1.519,0.355,0.6823329959514169
"Thrombosis due to genitourinary prosthetic devices, implants and grafts, initial encounter",0.642,0.251,1.641,0.355,0.6823329959514169
"Chronic or unspecified gastrojejunal ulcer with hemorrhage, without mention of obstruction",0.481,0.102,2.266,0.355,0.6823329959514169
Other complications of other bariatric procedure,0.462,0.09,2.372,0.355,0.6823329959514169
Polydipsia,0.452,0.084,2.433,0.355,0.6823329959514169
Shoulder joint replacement,1.324,0.73,2.402,0.356,0.6835631951466127
Diverticulosis of large intestine without perforation or abscess without bleeding,1.084,0.914,1.285,0.356,0.6835631951466127
Personal history of malignant neoplasm of cervix uteri,0.801,0.499,1.285,0.357,0.6847909090909091
Other specified disorders of penis,0.472,0.096,2.33,0.357,0.6847909090909091
Low income,0.484,0.103,2.273,0.358,0.6863624432104998
Need for prophylactic vaccination and inoculation against tetanus-diphtheria [Td] (DT),0.531,0.137,2.055,0.359,0.6875854765506808
NIHSS score 3,0.525,0.132,2.083,0.359,0.6875854765506808
"Dermatomycosis, unspecified",0.632,0.237,1.688,0.36,0.6889839195979899
Peritoneal abscess,1.185,0.823,1.707,0.361,0.6889839195979899
Secondary carcinoid tumors of other sites,0.535,0.14,2.045,0.361,0.6889839195979899
Malignant carcinoid tumors of other sites,0.476,0.096,2.347,0.361,0.6889839195979899
Febrile nonhemolytic transfusion reaction,0.456,0.084,2.459,0.361,0.6889839195979899
Congenital tracheomalacia,0.437,0.074,2.583,0.361,0.6889839195979899
Unspecified inflammatory polyarthropathy,0.428,0.069,2.644,0.361,0.6889839195979899
"Uterovaginal prolapse, unspecified",0.467,0.091,2.402,0.362,0.6905454545454546
"Vitreous degeneration, left eye",0.457,0.084,2.476,0.363,0.6921054216867469
Other infusion reaction,0.535,0.138,2.07,0.364,0.6933159478435306
Other chronic sinusitis,0.512,0.121,2.171,0.364,0.6933159478435306
Acquired buried penis,0.547,0.148,2.022,0.366,0.696775939849624
"Accidental poisoning by aromatic analgesics, not elsewhere classified",2.329,0.371,14.631,0.367,0.6979799699549324
Fistula of bile duct,0.517,0.124,2.164,0.367,0.6979799699549324
Other complications of gastrostomy,1.461,0.639,3.341,0.368,0.6991815907953977
Anterior cerebral artery syndrome,0.676,0.288,1.587,0.368,0.6991815907953977
"Postoperative shock, septic",1.785,0.504,6.328,0.369,0.7003808095952024
Substance abuse in family,0.469,0.09,2.452,0.369,0.7003808095952024
Acquired absence of unspecified leg below knee,0.861,0.621,1.194,0.37,0.7019280719280719
Gastro-esophageal laceration-hemorrhage syndrome,0.739,0.38,1.435,0.371,0.7034737893160259
Dysphagia following other cerebrovascular disease,0.799,0.489,1.307,0.372,0.7050179640718562
Encounter for change or removal of surgical wound dressing,1.638,0.552,4.859,0.374,0.7066925373134328
Postconcussion syndrome,1.627,0.556,4.767,0.374,0.7066925373134328
Kidney transplant infection,0.854,0.603,1.21,0.374,0.7066925373134328
"Acute, but ill-defined, cerebrovascular disease",0.473,0.091,2.461,0.374,0.7066925373134328
Alcohol abuse counseling and surveillance of alcoholic,0.471,0.09,2.479,0.374,0.7066925373134328
Other disorders of papillary muscle,0.46,0.083,2.548,0.374,0.7066925373134328
"Aortic ectasia, unspecified site",1.677,0.535,5.262,0.375,0.7071747765640517
Other hereditary and idiopathic neuropathies,0.628,0.225,1.755,0.375,0.7071747765640517
"Displaced fracture of base of neck of left femur, initial encounter for closed fracture",0.541,0.139,2.104,0.375,0.7071747765640517
Other specified delays in development,0.465,0.085,2.528,0.375,0.7071747765640517
"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter",0.528,0.128,2.173,0.376,0.7087086848635236
"Paralysis of vocal cords and larynx, bilateral",0.471,0.089,2.5,0.377,0.7102410714285714
Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris,0.912,0.742,1.12,0.378,0.7117719385225583
Unspecified hemorrhoids,1.183,0.814,1.719,0.379,0.7125950495049505
"Bronchitis, not specified as acute or chronic",0.748,0.392,1.428,0.379,0.7125950495049505
"Major depressive disorder, recurrent, unspecified",0.735,0.369,1.461,0.379,0.7125950495049505
Unspecified blepharitis left upper eyelid,0.532,0.13,2.181,0.38,0.7137685459940653
Allergy status to analgesic agent status,0.486,0.097,2.433,0.38,0.7137685459940653
Heart valve replaced by other means,0.923,0.772,1.104,0.381,0.7142339585389931
"Displaced fracture of head of right radius, initial encounter for closed fracture",0.533,0.131,2.176,0.381,0.7142339585389931
Non-celiac gluten sensitivity,0.498,0.105,2.365,0.381,0.7142339585389931
Benign lipomatous neoplasm of other sites,0.453,0.077,2.668,0.381,0.7142339585389931
Acute lymphangitis of left upper limb,1.163,0.829,1.63,0.382,0.7146975369458128
"Bacterial infection, unspecified",0.537,0.133,2.168,0.382,0.7146975369458128
"Other infective otitis externa, bilateral",0.524,0.123,2.23,0.382,0.7146975369458128
"Mental disorder, not otherwise specified",0.453,0.077,2.666,0.382,0.7146975369458128
Malignant neoplasm of extrahepatic bile ducts,0.795,0.475,1.332,0.383,0.7148078624078624
Concussion with loss of consciousness of unspecified duration,0.514,0.116,2.288,0.383,0.7148078624078624
Hereditary hemorrhagic telangiectasia,0.511,0.113,2.314,0.383,0.7148078624078624
Malignant neoplasm of other specified sites of cervix,0.498,0.104,2.391,0.383,0.7148078624078624
"Other cervical disc disorders, high cervical region",0.478,0.091,2.504,0.383,0.7148078624078624
Accidental poisoning by central nervous system stimulants,2.319,0.348,15.429,0.384,0.7149176470588235
Pneumonia in aspergillosis,1.566,0.571,4.299,0.384,0.7149176470588235
Congenital insufficiency of aortic valve,1.198,0.798,1.797,0.384,0.7149176470588235
Herpesviral gingivostomatitis and pharyngotonsillitis,0.617,0.208,1.828,0.384,0.7149176470588235
"Periprosthetic fracture around other internal prosthetic joint, initial encounter",0.564,0.155,2.049,0.384,0.7149176470588235
"Infection and inflammatory reaction due to indwelling urethral catheter, initial encounter",1.347,0.688,2.639,0.385,0.7157268722466961
Cellulitis of buttock,0.635,0.228,1.768,0.385,0.7157268722466961
Other organ or tissue replaced by other means,0.472,0.087,2.563,0.385,0.7157268722466961
Unspecified sequelae of other cerebrovascular disease,1.482,0.608,3.609,0.386,0.7165337243401759
Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side,1.191,0.803,1.766,0.386,0.7165337243401759
Other specified functional intestinal disorders,0.617,0.207,1.838,0.386,0.7165337243401759
Rhabdomyolysis,0.868,0.631,1.196,0.387,0.7180390815828042
Progressive multifocal leukoencephalopathy,1.873,0.45,7.804,0.389,0.7210453879941435
Pulmonary hypertension due to lung diseases and hypoxia,1.048,0.942,1.167,0.389,0.7210453879941435
"Disease of digestive system, unspecified",1.415,0.641,3.125,0.39,0.721842105263158
Jaw pain,0.517,0.115,2.329,0.39,0.721842105263158
"Secondary diabetes mellitus without mention of complication, uncontrolled",0.492,0.098,2.476,0.39,0.721842105263158
"Unspecified intracapsular fracture of right femur, initial encounter for closed fracture",1.571,0.56,4.408,0.391,0.7229883154819864
"Chronic myeloid leukemia, BCR/ABL-positive, in remission",0.485,0.093,2.535,0.391,0.7229883154819864
Other congenital malformations of pancreas and pancreatic duct,0.551,0.141,2.156,0.392,0.7241322957198444
Family history of psychiatric condition,0.519,0.116,2.33,0.392,0.7241322957198444
Personal history of malignant neoplasm of testis,0.773,0.427,1.398,0.394,0.7260611353711791
Factory as the place of occurrence of the external cause,0.635,0.223,1.805,0.394,0.7260611353711791
Neoplasm of uncertain behavior of connective and other soft tissue,0.604,0.189,1.927,0.394,0.7260611353711791
"Bundle branch block, unspecified",0.495,0.098,2.498,0.394,0.7260611353711791
Carrier or suspected carrier of Methicillin susceptible Staphylococcus aureus,0.484,0.091,2.57,0.394,0.7260611353711791
Full incontinence of feces,0.817,0.514,1.301,0.395,0.7275509214354996
Retained cholelithiasis following cholecystectomy,0.53,0.122,2.303,0.397,0.7305261627906977
Acute respiratory distress,0.437,0.064,2.968,0.397,0.7305261627906977
"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy",1.727,0.486,6.135,0.398,0.7320116222760291
Myotonic muscular dystrophy,1.988,0.403,9.817,0.399,0.7331407837445574
"Unspecified schizophrenia, chronic",0.485,0.09,2.613,0.399,0.7331407837445574
"Malignant neoplasm of biliary tract, part unspecified site",0.595,0.178,1.99,0.4,0.7339130434782609
Chronic prostatitis,0.534,0.124,2.303,0.4,0.7339130434782609
Ectopic ACTH syndrome,0.532,0.122,2.314,0.4,0.7339130434782609
"Polycystic kidney, autosomal dominant",0.574,0.157,2.096,0.401,0.7353925639787543
Cerebral infarction due to thrombosis of unspecified cerebellar artery,1.331,0.681,2.601,0.402,0.7365151953690304
Unspecified activity,0.57,0.153,2.126,0.402,0.7365151953690304
Other syndromes affecting cervical region,1.766,0.466,6.7,0.403,0.7376356626506024
Malignant melanoma of scalp and neck,0.425,0.057,3.157,0.403,0.7376356626506024
"Idiopathic gout, right elbow",1.329,0.682,2.589,0.404,0.7380432900432902
Other specified disorders of bladder,0.619,0.201,1.911,0.404,0.7380432900432902
Varicose veins of unspecified lower extremity with ulcer of calf,0.602,0.183,1.983,0.404,0.7380432900432902
Carrier of viral hepatitis C,0.484,0.088,2.664,0.404,0.7380432900432902
"Other fracture of lower end of right femur, initial encounter for closed fracture",0.506,0.102,2.513,0.405,0.7391590581451226
"Infection and inflammatory reaction due to other urinary catheter, initial encounter",0.413,0.052,3.306,0.405,0.7391590581451226
Other drug-induced agranulocytosis,0.866,0.616,1.216,0.406,0.7402726836293808
Unspecified functional disorder of stomach,0.536,0.123,2.333,0.406,0.7402726836293808
Liver transplant infection,1.211,0.771,1.902,0.407,0.7410287631831255
Encounter for attention to tracheostomy,0.744,0.369,1.497,0.407,0.7410287631831255
"Osteoarthrosis, unspecified whether generalized or localized, shoulder region",0.666,0.254,1.744,0.407,0.7410287631831255
"Body Mass Index 37.0-37.9, adult",1.24,0.745,2.062,0.408,0.7424935313847628
Contact with and (suspected) exposure to asbestos,1.226,0.756,1.988,0.409,0.743956896551724
"Cardiac dysrhythmia, unspecified",0.643,0.224,1.841,0.41,0.7450622009569378
"Follow-up examination, following surgery, unspecified",0.53,0.117,2.4,0.41,0.7450622009569378
Post traumatic seizures,1.814,0.437,7.526,0.412,0.7472664756446991
Personal history of Merkel cell carcinoma,1.491,0.574,3.871,0.412,0.7472664756446991
Personal history of sudden cardiac arrest,1.145,0.828,1.584,0.412,0.7472664756446991
Hyperosmolality and/or hypernatremia,0.949,0.839,1.075,0.412,0.7472664756446991
Aortic aneurysm of unspecified site without mention of rupture,0.581,0.159,2.129,0.413,0.7487226730310261
"Generalized convulsive epilepsy, without mention of intractable epilepsy",1.274,0.712,2.277,0.414,0.7491052882324917
"Presence of artificial hip joint, bilateral",0.943,0.819,1.086,0.414,0.7491052882324917
"Alcohol abuse, episodic",0.517,0.106,2.517,0.414,0.7491052882324917
NIHSS score 8,0.451,0.067,3.051,0.414,0.7491052882324917
Reflux esophagitis,1.313,0.682,2.526,0.415,0.7498430066603234
Influenza due to other identified influenza virus with the same other identified influenza virus pneumonia,1.173,0.799,1.722,0.415,0.7498430066603234
Dissection of iliac artery,0.636,0.214,1.89,0.415,0.7498430066603234
Fitting and adjustment of vascular catheter,0.504,0.097,2.623,0.416,0.7512924393723253
Chills (without fever),0.591,0.165,2.11,0.417,0.7523828978622328
"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral",0.498,0.092,2.683,0.417,0.7523828978622328
Encounter for adjustment and management of other cardiac device,0.536,0.118,2.423,0.418,0.7538290598290598
Benign neoplasm of parathyroid gland,0.532,0.115,2.456,0.419,0.754915559772296
Catatonic disorder due to known physiological condition,0.499,0.092,2.699,0.419,0.754915559772296
"Strain of muscle and tendon of front wall of thorax, initial encounter",0.564,0.141,2.265,0.42,0.756
"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior",0.493,0.088,2.747,0.42,0.756
Other specified diseases of anus and rectum,0.737,0.351,1.55,0.421,0.7567240889730241
Malignant neoplasm of renal pelvis,0.517,0.104,2.577,0.421,0.7567240889730241
Personal history of surgery to other organs,0.453,0.066,3.12,0.421,0.7567240889730241
"Diseases of mediastinum, not elsewhere classified",1.585,0.515,4.876,0.422,0.7574461247637051
Pneumocystosis,1.361,0.641,2.892,0.422,0.7574461247637051
Budd-Chiari syndrome,0.576,0.149,2.219,0.422,0.7574461247637051
"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled",1.401,0.614,3.198,0.423,0.7585240793201133
"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, with obstruction",0.532,0.113,2.495,0.423,0.7585240793201133
Myasthenia gravis with (acute) exacerbation,0.598,0.169,2.111,0.424,0.7592418670438472
Wandering in diseases classified elsewhere,0.548,0.125,2.396,0.424,0.7592418670438472
"Adult osteomalacia, unspecified",0.508,0.096,2.679,0.424,0.7592418670438472
Volkmann's ischemic contracture,0.48,0.079,2.907,0.425,0.7606738925541942
Secondary neuroendocrine tumor of liver,0.605,0.175,2.087,0.426,0.7621045690061233
Achalasia of cardia,0.772,0.408,1.461,0.427,0.7635338983050847
Intestinal bypass and anastomosis status,0.781,0.424,1.439,0.428,0.7646020696142992
Other specified diseases of blood and blood-forming organs,0.722,0.322,1.617,0.428,0.7646020696142992
Other sequelae following unspecified cerebrovascular disease,1.455,0.574,3.688,0.429,0.7656682330827067
Left lower quadrant pain,1.281,0.694,2.365,0.429,0.7656682330827067
Radiation-induced polyneuropathy,0.628,0.196,2.006,0.432,0.7706344892221181
Acute embolism and thrombosis of other thoracic veins,1.514,0.536,4.272,0.433,0.7706344892221181
Adjustment disorder with anxiety,1.441,0.579,3.588,0.433,0.7706344892221181
Closed fracture of upper end of fibula with tibia,0.57,0.14,2.324,0.433,0.7706344892221181
"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",0.565,0.136,2.354,0.433,0.7706344892221181
Chronic interstitial cystitis,0.516,0.099,2.698,0.433,0.7706344892221181
Carcinoid syndrome,2.069,0.333,12.852,0.435,0.7731071595694899
"Other malignant neoplasm of skin of lower limb, including hip",1.648,0.471,5.767,0.435,0.7731071595694899
Other disorders of peripheral nervous system,0.546,0.119,2.5,0.435,0.7731071595694899
Nephrotic syndrome with other morphologic changes,0.562,0.132,2.391,0.436,0.7745219831618335
"Central retinal vein occlusion, right eye",1.793,0.411,7.833,0.437,0.7755728971962617
Other artificial openings of urinary tract status,1.186,0.772,1.824,0.437,0.7755728971962617
Communicating hydrocephalus,1.508,0.534,4.259,0.438,0.7766218487394958
"Lesion of ulnar nerve, right upper limb",0.618,0.183,2.087,0.438,0.7766218487394958
"Organ or tissue replaced by other means, heart assist device",1.751,0.423,7.245,0.439,0.7780317312179188
"Nondisplaced fracture of distal phalanx of right ring finger, initial encounter for closed fracture",0.516,0.096,2.782,0.441,0.7812117537313432
"Osteoarthrosis, localized, primary, pelvic region and thigh",1.226,0.729,2.061,0.442,0.7822534948741845
Benign neoplasm of cranial nerves,0.45,0.059,3.442,0.442,0.7822534948741845
Family history of malignant neoplasm of kidney,0.684,0.26,1.805,0.443,0.7832382721783557
Malignant neoplasm of left ureter,0.503,0.087,2.918,0.443,0.7832382721783557
Allergic purpura,2.194,0.294,16.375,0.444,0.7832382721783557
Insulins and antidiabetic agents causing adverse effects in therapeutic use,0.764,0.383,1.524,0.444,0.7832382721783557
"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",0.559,0.126,2.479,0.444,0.7832382721783557
Irritable bowel syndrome with constipation,0.532,0.105,2.678,0.444,0.7832382721783557
Conus medullaris syndrome,0.526,0.102,2.725,0.444,0.7832382721783557
Personal history of adult physical and sexual abuse,0.553,0.121,2.524,0.445,0.7845221811460259
"Other complications due to other cardiac device, implant, and graft",1.181,0.77,1.811,0.446,0.7845221811460259
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,0.923,0.751,1.134,0.446,0.7845221811460259
Primary generalized (osteo)arthritis,0.511,0.091,2.874,0.446,0.7845221811460259
"Closed fracture of base of skull without mention of intra cranial injury, with loss of consciousness of unspecified duration",0.499,0.083,2.984,0.446,0.7845221811460259
"Poisoning by 4-Aminophenol derivatives, undetermined, initial encounter",1.833,0.384,8.741,0.447,0.7845221811460259
Other specified disorders of adrenal glands,1.387,0.597,3.222,0.447,0.7845221811460259
"Arthropathy, unspecified, lower leg",0.728,0.322,1.649,0.447,0.7845221811460259
Rectal fistula,0.636,0.199,2.039,0.447,0.7845221811460259
Ulcerative (chronic) proctitis with fistula,0.552,0.12,2.553,0.447,0.7845221811460259
"Unspecified fracture of lower end of right femur, subsequent encounter for closed fracture with delayed healing",0.508,0.088,2.913,0.447,0.7845221811460259
"Visual discomfort, unspecified",0.56,0.126,2.501,0.448,0.7859140877598152
Other disorders of pituitary gland,0.529,0.101,2.757,0.449,0.786941393631749
"Unilateral inguinal hernia, with obstruction, without gangrene, recurrent",0.525,0.099,2.785,0.449,0.786941393631749
Immunization not carried out for other reason,1.464,0.544,3.936,0.45,0.7876036866359447
Other ill-defined heart diseases,0.799,0.447,1.43,0.45,0.7876036866359447
"Contusion of liver, initial encounter",0.42,0.044,3.991,0.45,0.7876036866359447
NIHSS score 5,2.008,0.328,12.289,0.451,0.7879015639374425
Calculus of gallbladder and bile duct with acute cholecystitis without obstruction,0.546,0.114,2.629,0.451,0.7879015639374425
Huntington's disease,0.47,0.066,3.352,0.451,0.7879015639374425
"Injury to other gastrointestinal sites, without mention of open wound into cavity",0.444,0.054,3.672,0.451,0.7879015639374425
"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction",0.635,0.194,2.08,0.453,0.7910317241379311
"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",0.603,0.161,2.262,0.454,0.7924136029411765
Neoplasm of unspecified nature of digestive system,0.571,0.131,2.486,0.455,0.7934297520661158
"Unspecified osteomyelitis, pelvic region and thigh",0.523,0.096,2.861,0.455,0.7934297520661158
"Disruption of wound, unspecified, initial encounter",1.551,0.489,4.918,0.456,0.7944440366972477
"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled",1.463,0.537,3.984,0.456,0.7944440366972477
"Adverse effect of unspecified drugs, medicaments and biological substances, initial encounter",0.664,0.226,1.953,0.457,0.7950109689213894
"Orchitis and epididymitis, unspecified",0.637,0.194,2.09,0.457,0.7950109689213894
Mild persistent asthma with (acute) exacerbation,0.562,0.123,2.57,0.457,0.7950109689213894
Other chronic pain,0.949,0.828,1.089,0.458,0.7950109689213894
"Fluid overload, unspecified",0.931,0.772,1.124,0.458,0.7950109689213894
Nonrheumatic tricuspid (valve) stenosis with insufficiency,0.851,0.555,1.304,0.458,0.7950109689213894
Other specified glaucoma,0.545,0.11,2.706,0.458,0.7950109689213894
"Other specified hearing loss, unspecified ear",0.425,0.044,4.073,0.458,0.7950109689213894
Critical illness myopathy,0.669,0.231,1.94,0.459,0.7963828232069439
Leukemoid reaction,0.576,0.133,2.488,0.46,0.7970255474452554
"Periprosthetic fracture around internal prosthetic left hip joint, initial encounter",0.574,0.132,2.501,0.46,0.7970255474452554
"Other hamartoses, not elsewhere classified",0.563,0.122,2.588,0.46,0.7970255474452554
Other iodine-deficiency related thyroid disorders and allied conditions,0.781,0.405,1.507,0.461,0.7980300820419326
Contact with and (suspected) exposure to tuberculosis,0.621,0.175,2.205,0.461,0.7980300820419326
"Secondary hyperparathyroidism, non-renal",0.458,0.057,3.671,0.462,0.7990327868852459
"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester",0.352,0.022,5.697,0.462,0.7990327868852459
"Decreased white blood cell count, unspecified",0.888,0.645,1.22,0.463,0.7996698499317872
Other external cause status,0.687,0.252,1.871,0.463,0.7996698499317872
Anxiety disorder in conditions classified elsewhere,0.463,0.059,3.633,0.463,0.7996698499317872
Occlusion and stenosis of vertebral artery without mention of cerebral infarction,1.296,0.648,2.594,0.464,0.8006687869150386
Intraoperative cerebrovascular infarction during other surgery,0.852,0.555,1.308,0.464,0.8006687869150386
Hypercalciuria,0.535,0.1,2.865,0.465,0.8020299727520437
Influenza due to other identified influenza virus with gastrointestinal manifestations,0.511,0.084,3.109,0.466,0.8030254083484574
"Other streptococcal arthritis, left wrist",0.502,0.079,3.198,0.466,0.8030254083484574
"Body mass index (BMI) 50.0-59.9, adult",0.834,0.51,1.362,0.467,0.8036547349343001
Agoraphobia with panic disorder,0.558,0.116,2.686,0.467,0.8036547349343001
"Disorder of gingiva and edentulous alveolar ridge, unspecified",0.514,0.085,3.094,0.467,0.8036547349343001
"Spinal stenosis, occipito-atlanto-axial region",1.156,0.781,1.711,0.468,0.8042823529411764
"Other nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",0.713,0.287,1.775,0.468,0.8042823529411764
"Nondisplaced spiral fracture of shaft of left tibia, initial encounter for closed fracture",0.543,0.104,2.831,0.468,0.8042823529411764
"Acute viral hepatitis, unspecified",1.674,0.415,6.753,0.469,0.8052721518987341
Calculus of gallbladder and bile duct with chronic cholecystitis without obstruction,0.572,0.126,2.589,0.469,0.8052721518987341
Postpolio syndrome,0.76,0.362,1.598,0.47,0.8066244916403073
"Conduct disorder, unspecified",0.566,0.12,2.661,0.471,0.8072463898916967
Thoracoscopic surgical procedure converted to open procedure,0.524,0.09,3.039,0.471,0.8072463898916967
Encounter for attention to cystostomy,0.464,0.058,3.742,0.471,0.8072463898916967
"Hyperplasia of prostate, unspecified, with urinary obstruction and other lower urinary symptoms (LUTS)",0.556,0.112,2.758,0.473,0.8103085250338294
Tuberculosis of lung,0.551,0.108,2.813,0.474,0.8116555455365193
Other disorders of menstruation and other abnormal bleeding from female genital tract,0.561,0.115,2.743,0.475,0.8126351351351351
Acrodermatitis chronica atrophicans,0.548,0.106,2.848,0.475,0.8126351351351351
Contusion of eyelids and periocular area,1.622,0.43,6.118,0.476,0.813246963562753
"Open wound of other and multiple sites of face, without mention of complication",0.542,0.1,2.928,0.476,0.813246963562753
Idiopathic osteoporosis,0.502,0.075,3.345,0.476,0.813246963562753
Other oral mucositis (ulcerative),1.348,0.592,3.068,0.477,0.8134916928603502
Late effect of radiation,0.79,0.412,1.514,0.477,0.8134916928603502
Benign intracranial hypertension,0.623,0.169,2.294,0.477,0.8134916928603502
"Unspecified dislocation of right shoulder joint, initial encounter",0.494,0.071,3.453,0.477,0.8134916928603502
"Hyperaldosteronism, unspecified",0.56,0.113,2.774,0.478,0.8144656796769851
"Brow ptosis, left",0.472,0.059,3.763,0.478,0.8144656796769851
"Unspecified fracture of lower end of left humerus, initial encounter for closed fracture",1.479,0.501,4.364,0.479,0.8158035874439461
"Disorder of teeth and supporting structures, unspecified",0.548,0.103,2.908,0.48,0.8167741935483871
Unspecified inflammatory disease of female pelvic organs and tissues,0.494,0.07,3.496,0.48,0.8167741935483871
Personal history of malignant neoplasm of stomach,1.201,0.721,2.0,0.482,0.8198101209135692
Other cataract,1.331,0.598,2.96,0.483,0.8211432408236347
Babesiosis,0.638,0.181,2.249,0.484,0.8221073345259392
"Unspecified pedal cyclist injured in collision with car, pick-up truck or van in traffic accident, initial encounter",0.525,0.086,3.191,0.484,0.8221073345259392
"Open wound of lip, without mention of complication",1.283,0.638,2.58,0.485,0.8223348214285714
Postprocedural partial intestinal obstruction,0.878,0.609,1.265,0.485,0.8223348214285714
Chronic embolism and thrombosis of left internal jugular vein,0.583,0.128,2.656,0.485,0.8223348214285714
"Anterior dislocation of left humerus, initial encounter",0.536,0.093,3.085,0.485,0.8223348214285714
Personal history of Methicillin resistant Staphylococcus aureus,0.888,0.637,1.239,0.486,0.8232952720785013
Chronic embolism and thrombosis of other specified veins,0.553,0.104,2.927,0.486,0.8232952720785013
"Injury to spleen without mention of open wound into cavity, unspecified injury",1.639,0.406,6.615,0.488,0.8255786191536748
"Collapsed vertebra, not elsewhere classified, site unspecified, subsequent encounter for fracture with routine healing",0.627,0.168,2.344,0.488,0.8255786191536748
Screening examination for pulmonary tuberculosis,0.498,0.07,3.563,0.488,0.8255786191536748
Other specified diabetes mellitus with other skin ulcer,1.452,0.505,4.177,0.489,0.8265340453938584
Chronic hepatitis C with hepatic coma,1.177,0.741,1.871,0.489,0.8265340453938584
Acute on chronic diastolic heart failure,1.057,0.903,1.238,0.49,0.8274877723432637
"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection",0.546,0.098,3.047,0.49,0.8274877723432637
Abnormal results of pulmonary function studies,1.753,0.354,8.666,0.491,0.8284398045313194
"Disorders of meninges, not elsewhere classified",0.547,0.098,3.046,0.491,0.8284398045313194
Unspecified atrioventricular block,1.366,0.562,3.32,0.492,0.8290221827861579
Speech disturbance nec,1.312,0.604,2.851,0.492,0.8290221827861579
Central demyelination of corpus callosum,0.526,0.084,3.295,0.492,0.8290221827861579
Hydronephrosis with renal and ureteral calculous obstruction,1.08,0.867,1.345,0.493,0.8292356067316209
Other chronic cystitis,0.562,0.108,2.916,0.493,0.8292356067316209
Malignant neoplasm of appendix vermiformis,0.493,0.065,3.715,0.493,0.8292356067316209
Chronic adhesive pericarditis,0.48,0.059,3.899,0.493,0.8292356067316209
Keratosis follicularis et parafollicularis in cutem penetrans,0.649,0.188,2.246,0.495,0.8322310756972112
"Arthropathy, unspecified, multiple sites",0.524,0.081,3.367,0.496,0.8335433628318584
"Displaced simple supracondylar fracture without intercondylar fracture of right humerus, initial encounter for closed fracture",0.6,0.138,2.615,0.497,0.8341166593018118
Pneumonia due to parainfluenza virus,0.593,0.131,2.68,0.497,0.8341166593018118
"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter",0.402,0.029,5.604,0.497,0.8341166593018118
"Other non-follicular lymphoma, extranodal and solid organ sites",0.726,0.287,1.835,0.499,0.8359955888839876
Unspecified complication of other transplanted tissue,0.641,0.177,2.326,0.499,0.8359955888839876
"Other sprain of right hip, initial encounter",0.596,0.134,2.664,0.499,0.8359955888839876
Impaired fasting glucose,0.537,0.089,3.253,0.499,0.8359955888839876
Drug-induced aplastic anemia,1.213,0.691,2.13,0.501,0.8389761904761905
"Separation of muscle (nontraumatic), unspecified site",1.975,0.27,14.443,0.502,0.8391707746478874
"Puncture wound without foreign body, left knee, initial encounter",0.81,0.437,1.5,0.502,0.8391707746478874
Testicular hypofunction,0.77,0.358,1.653,0.502,0.8391707746478874
Closed unspecified fracture of pelvis,0.508,0.071,3.663,0.502,0.8391707746478874
"Other intervertebral disc displacement, lumbosacral region",0.867,0.572,1.315,0.503,0.8393646748681898
"Family history of malignant neoplasm, unspecified",0.752,0.326,1.733,0.503,0.8393646748681898
Acute bronchospasm,0.699,0.245,1.994,0.503,0.8393646748681898
"Assault by unspecified sharp object, sequela",0.524,0.079,3.485,0.503,0.8393646748681898
Personal history of malignant neoplasm of breast,1.042,0.924,1.174,0.504,0.8402949956101844
Nervous system complications from surgically implanted device,0.568,0.108,2.982,0.504,0.8402949956101844
